Reference,Date,Debit,Credit,Description,Balance
REF-20240312-786160,12/03/2024,,73.32,PAYMENT SETTLEMENT TXN20240310025276,1856475.06
REF-20240326-181640,26/03/2024,,484.50,PAYMENT SETTLEMENT TXN20240325010611,1856959.56
REF-20240305-642905,05/03/2024,,240.89,PAYMENT SETTLEMENT TXN20240302002325,1857200.45
REF-20240312-268734,12/03/2024,,39.31,MERCHANT CREDIT CUST3070,1857239.76
REF-20240315-238653,15/03/2024,,185.41,CARD SETTLEMENT NET TXN20240314008193,1857425.17
REF-20240307-198960,07/03/2024,,26.79,CARD SETTLEMENT NET TXN20240306000202,1857451.96
REF-20240318-495735,18/03/2024,,328.83,PAYMENT SETTLEMENT TXN20240315021697,1857780.79
REF-20240403-207025,03/04/2024,,657.65,PAYMENT SETTLEMENT TXN20240329030194,1858438.44
REF-20240404-711483,04/04/2024,,104.68,SETTLEMENT BATCH 0404,1858543.12
REF-20240403-903007,03/04/2024,,43.53,SETTLEMENT BATCH 0403,1858586.65
REF-20240328-163379,28/03/2024,,62.49,PAYMENT SETTLEMENT TXN20240327024797,1858649.14
REF-20240326-981321,26/03/2024,,26.00,CARD SETTLEMENT NET TXN20240323020849,1858675.14
REF-20240321-505097,21/03/2024,,94.17,CARD SETTLEMENT NET TXN20240320030587,1858769.31
REF-20240308-260905,08/03/2024,428.15,,CHARGEBACK RECEIVED 82TP,1858341.16
REF-20240318-823573,18/03/2024,,160.93,CARD SETTLEMENT NET TXN20240315038520,1858502.09
REF-20240306-436303,06/03/2024,,632.63,PAYMENT SETTLEMENT TXN20240305014347,1859134.72
REF-20240326-296112,26/03/2024,,29.73,MERCHANT CREDIT CUST1608,1859164.45
REF-20240304-743793,04/03/2024,,51.03,PAYMENT SETTLEMENT TXN20240301042384,1859215.48
REF-20240327-778096,27/03/2024,,94.62,CARD SETTLEMENT NET TXN20240326022239,1859310.10
REF-20240319-724753,19/03/2024,,236.74,PAYMENT SETTLEMENT TXN20240316006702,1859546.84
REF-20240319-682835,19/03/2024,,70.77,PAYMENT SETTLEMENT TXN20240316028646,1859617.61
REF-20240328-768058,28/03/2024,145.63,,CHARGEBACK RECEIVED 08CN,1859471.98
REF-20240326-261813,26/03/2024,,49.52,PAYMENT SETTLEMENT TXN20240323049520,1859521.50
REF-20240326-758196,26/03/2024,,20.78,PAYMENT SETTLEMENT TXN20240324025912,1859542.28
REF-20240305-469364,05/03/2024,,307.63,MERCHANT CREDIT CUST2457,1859849.91
REF-20240305-233482,05/03/2024,,1265.25,PAYMENT SETTLEMENT TXN20240302021602,1861115.16
REF-20240403-929334,03/04/2024,,14.73,PAYMENT SETTLEMENT TXN20240331000144,1861129.89
REF-20240305-293848,05/03/2024,,39.05,PAYMENT SETTLEMENT TXN20240304044592,1861168.94
REF-20240328-939635,28/03/2024,,16.39,PAYMENT SETTLEMENT TXN20240327031891,1861185.33
REF-20240315-936886,15/03/2024,,11.75,CARD SETTLEMENT NET TXN20240314028451,1861197.08
REF-20240313-486274,13/03/2024,,244.66,PAYMENT SETTLEMENT TXN20240312040932,1861441.74
REF-20240320-748171,20/03/2024,73.57,,REVERSAL OF REF-20240319-829009,1861368.17
REF-20240325-869777,25/03/2024,,15.37,PAYMENT SETTLEMENT TXN20240322008816,1861383.54
REF-20240319-385311,19/03/2024,,320.15,PAYMENT SETTLEMENT TXN20240318013019,1861703.69
REF-20240326-578553,26/03/2024,,540.74,PAYMENT SETTLEMENT TXN20240325023111,1862244.43
REF-20240312-310026,12/03/2024,,28.20,CARD SETTLEMENT NET TXN20240311003525,1862272.63
REF-20240313-346390,13/03/2024,,133.17,PAYMENT SETTLEMENT TXN20240312015858,1862405.80
REF-20240305-146857,05/03/2024,,81.49,PAYMENT SETTLEMENT TXN20240304018562,1862487.29
REF-20240318-769817,18/03/2024,,38.48,PAYMENT SETTLEMENT TXN20240315014141,1862525.77
REF-20240402-433427,02/04/2024,,14.33,PAYMENT SETTLEMENT TXN20240328039060,1862540.10
REF-20240305-631278,05/03/2024,,203.42,PAYMENT SETTLEMENT TXN20240302039796,1862743.52
REF-20240305-710014,05/03/2024,,189.47,PAYMENT SETTLEMENT TXN20240303019028,1862932.99
REF-20240403-257987,03/04/2024,,42.39,CARD SETTLEMENT NET TXN20240330010593,1862975.38
REF-20240319-478899,19/03/2024,,26.26,PAYMENT SETTLEMENT TXN20240318023550,1863001.64
REF-20240312-324038,12/03/2024,,78.89,PAYMENT SETTLEMENT TXN20240309033379,1863080.53
REF-20240318-441380,18/03/2024,,77.44,MERCHANT CREDIT CUST7752,1863157.97
REF-20240309-322478,09/03/2024,390.12,,CHARGEBACK RECEIVED 38OG,1862767.85
REF-20240306-911506,06/03/2024,,20.69,CARD SETTLEMENT NET TXN20240305030600,1862788.54
REF-20240313-538868,13/03/2024,,137.45,PAYMENT SETTLEMENT TXN20240312023448,1862925.99
REF-20240326-319941,26/03/2024,,66.17,PAYMENT SETTLEMENT TXN20240324023072,1862992.16
REF-20240305-107583,05/03/2024,,79.93,PAYMENT SETTLEMENT TXN20240304007397,1863072.09
REF-20240326-407352,26/03/2024,,48.98,CARD SETTLEMENT NET TXN20240323023540,1863121.07
REF-20240326-858130,26/03/2024,,38.32,PAYMENT SETTLEMENT TXN20240324014637,1863159.39
REF-20240305-593350,05/03/2024,,40.47,CARD SETTLEMENT NET TXN20240303015933,1863199.86
REF-20240305-184827,05/03/2024,,39.66,PAYMENT SETTLEMENT TXN20240304046429,1863239.52
REF-20240307-135594,07/03/2024,,25.32,CARD SETTLEMENT NET TXN20240306038477,1863264.84
REF-20240306-430916,06/03/2024,,33.32,PAYMENT SETTLEMENT TXN20240305020469,1863298.16
REF-20240307-830658,07/03/2024,,12.21,PAYMENT SETTLEMENT TXN20240306009238,1863310.37
REF-20240328-760083,28/03/2024,,174.72,SETTLEMENT BATCH 0328,1863485.09
REF-20240314-560243,14/03/2024,,45.24,PAYMENT SETTLEMENT TXN20240313029276,1863530.33
REF-20240314-232642,14/03/2024,,41.75,PAYMENT SETTLEMENT TXN20240313048339,1863572.08
REF-20240326-686763,26/03/2024,,62.60,PAYMENT SETTLEMENT TXN20240323030906,1863634.68
REF-20240312-602282,12/03/2024,,46.67,PAYMENT SETTLEMENT TXN20240309022434,1863681.35
REF-20240322-749463,22/03/2024,,62.51,CARD SETTLEMENT NET TXN20240321012377,1863743.86
REF-20240402-803869,02/04/2024,,32.78,PAYMENT SETTLEMENT TXN20240328020822,1863776.64
REF-20240322-292169,22/03/2024,,30.38,PAYMENT SETTLEMENT TXN20240321022097,1863807.02
REF-20240328-640769,28/03/2024,,86.95,PAYMENT SETTLEMENT TXN20240327035486,1863893.97
REF-20240403-573138,03/04/2024,,22.88,PAYMENT SETTLEMENT TXN20240331039892,1863916.85
REF-20240313-273780,13/03/2024,,386.34,PAYMENT SETTLEMENT TXN20240312043975,1864303.19
REF-20240319-611998,19/03/2024,,108.45,PAYMENT SETTLEMENT TXN20240318031403,1864411.64
REF-20240305-147976,05/03/2024,,96.44,PAYMENT SETTLEMENT TXN20240302024362,1864508.08
REF-20240402-351825,02/04/2024,,50.02,PAYMENT SETTLEMENT TXN20240328000762,1864558.10
REF-20240307-366930,07/03/2024,,109.73,PAYMENT SETTLEMENT TXN20240306039949,1864667.83
REF-20240328-548840,28/03/2024,,39.33,CARD SETTLEMENT NET TXN20240327009916,1864707.16
REF-20240319-447752,19/03/2024,,27.94,PAYMENT SETTLEMENT TXN20240316038973,1864735.10
REF-20240321-628684,21/03/2024,,225.04,PAYMENT SETTLEMENT TXN20240320045279,1864960.14
REF-20240326-921932,26/03/2024,,52.75,PAYMENT SETTLEMENT TXN20240323022742,1865012.89
REF-20240320-640818,20/03/2024,,34.07,PAYMENT SETTLEMENT TXN20240319038025,1865046.96
REF-20240326-698532,26/03/2024,,194.85,PAYMENT SETTLEMENT TXN20240325031425,1865241.81
REF-20240325-166017,25/03/2024,,24.88,MERCHANT CREDIT CUST4165,1865266.69
REF-20240402-398525,02/04/2024,,583.27,CARD SETTLEMENT NET TXN20240328028876,1865849.96
REF-20240311-488825,11/03/2024,,26.15,PAYMENT SETTLEMENT TXN20240308029141,1865876.11
REF-20240308-698178,08/03/2024,,243.39,PAYMENT SETTLEMENT TXN20240307032538,1866119.50
REF-20240403-826445,03/04/2024,,71.98,PAYMENT SETTLEMENT TXN20240331017991,1866191.48
REF-20240313-765187,13/03/2024,,53.03,CARD SETTLEMENT NET TXN20240312030836,1866244.51
REF-20240321-302852,21/03/2024,,166.13,PAYMENT SETTLEMENT TXN20240320043915,1866410.64
REF-20240403-827464,03/04/2024,,57.98,PAYMENT SETTLEMENT TXN20240329047352,1866468.62
REF-20240326-690575,26/03/2024,,65.48,MERCHANT CREDIT CUST5038,1866534.10
REF-20240312-723484,12/03/2024,,56.61,CARD SETTLEMENT NET TXN20240310023694,1866590.71
REF-20240326-288730,26/03/2024,,23.71,CARD SETTLEMENT NET TXN20240325006638,1866614.42
REF-20240403-912053,03/04/2024,,69.41,PAYMENT SETTLEMENT TXN20240329040197,1866683.83
REF-20240403-324352,03/04/2024,,255.31,MERCHANT CREDIT CUST1287,1866939.14
REF-20240319-712586,19/03/2024,,192.19,PAYMENT SETTLEMENT TXN20240318020814,1867131.33
REF-20240313-907820,13/03/2024,,70.61,PAYMENT SETTLEMENT TXN20240312028241,1867201.94
REF-20240403-941404,03/04/2024,,19.35,PAYMENT SETTLEMENT TXN20240329043958,1867221.29
REF-20240403-963727,03/04/2024,,182.30,PAYMENT SETTLEMENT TXN20240329040640,1867403.59
REF-20240319-417720,19/03/2024,,35.95,PAYMENT SETTLEMENT TXN20240316036879,1867439.54
REF-20240312-790616,12/03/2024,,64.74,PAYMENT SETTLEMENT TXN20240309024256,1867504.28
REF-20240307-919983,07/03/2024,,11.43,MERCHANT CREDIT CUST1177,1867515.71
REF-20240403-921092,03/04/2024,,70.12,PAYMENT SETTLEMENT TXN20240329016301,1867585.83
REF-20240402-349154,02/04/2024,,16.83,PAYMENT SETTLEMENT TXN20240328006341,1867602.66
REF-20240403-881411,03/04/2024,,37.72,MERCHANT CREDIT CUST3409,1867640.38
REF-20240403-682045,03/04/2024,,218.12,MERCHANT CREDIT CUST7735,1867858.50
REF-20240328-308701,28/03/2024,,25.99,MERCHANT CREDIT CUST9918,1867884.49
REF-20240322-280556,22/03/2024,,72.53,PAYMENT SETTLEMENT TXN20240321011317,1867957.02
REF-20240326-494258,26/03/2024,,19.01,PAYMENT SETTLEMENT TXN20240323025034,1867976.03
REF-20240403-312202,03/04/2024,,81.15,PAYMENT SETTLEMENT TXN20240331022270,1868057.18
REF-20240305-174363,05/03/2024,,449.14,PAYMENT SETTLEMENT TXN20240302033944,1868506.32
REF-20240320-492076,20/03/2024,,70.78,PAYMENT SETTLEMENT TXN20240319028190,1868577.10
REF-20240326-664937,26/03/2024,,116.92,CARD SETTLEMENT NET TXN20240324001277,1868694.02
REF-20240326-882531,26/03/2024,,31.39,CARD SETTLEMENT NET TXN20240324030462,1868725.41
REF-20240403-260844,03/04/2024,,375.93,PAYMENT SETTLEMENT TXN20240329010518,1869101.34
REF-20240322-817421,22/03/2024,,15.66,CARD SETTLEMENT NET TXN20240321004759,1869117.00
REF-20240326-606876,26/03/2024,,64.07,MERCHANT CREDIT CUST1711,1869181.07
REF-20240402-742534,02/04/2024,,32.19,CARD SETTLEMENT NET TXN20240328006898,1869213.26
REF-20240315-733680,15/03/2024,,60.52,PAYMENT SETTLEMENT TXN20240314004998,1869273.78
REF-20240313-185631,13/03/2024,,56.70,PAYMENT SETTLEMENT TXN20240312024690,1869330.48
REF-20240327-134824,27/03/2024,,239.67,CARD SETTLEMENT NET TXN20240326038891,1869570.15
REF-20240326-981370,26/03/2024,,78.63,PAYMENT SETTLEMENT TXN20240323040126,1869648.78
REF-20240327-855439,27/03/2024,,18.59,PAYMENT SETTLEMENT TXN20240326021466,1869667.37
REF-20240307-781246,07/03/2024,,24.92,PAYMENT SETTLEMENT TXN20240306029933,1869692.29
REF-20240326-560345,26/03/2024,,38.76,PAYMENT SETTLEMENT TXN20240323015948,1869731.05
REF-20240403-208148,03/04/2024,,144.56,PAYMENT SETTLEMENT TXN20240330049565,1869875.61
REF-20240403-542747,03/04/2024,,21.66,PAYMENT SETTLEMENT TXN20240330014956,1869897.27
REF-20240305-691657,05/03/2024,,66.27,PAYMENT SETTLEMENT TXN20240302015501,1869963.54
REF-20240319-442530,19/03/2024,,21.08,PAYMENT SETTLEMENT TXN20240317043250,1869984.62
REF-20240403-164216,03/04/2024,,46.76,PAYMENT SETTLEMENT TXN20240330007073,1870031.38
REF-20240319-828734,19/03/2024,,143.80,PAYMENT SETTLEMENT TXN20240318028616,1870175.18
REF-20240326-360675,26/03/2024,,90.90,PAYMENT SETTLEMENT TXN20240325017933,1870266.08
REF-20240312-819158,12/03/2024,,183.86,PAYMENT SETTLEMENT TXN20240309034294,1870449.94
REF-20240318-688002,18/03/2024,,35.02,PAYMENT SETTLEMENT TXN20240315000417,1870484.96
REF-20240326-431869,26/03/2024,,70.64,PAYMENT SETTLEMENT TXN20240325049829,1870555.60
REF-20240403-882695,03/04/2024,,378.83,PAYMENT SETTLEMENT TXN20240329036679,1870934.43
REF-20240312-805895,12/03/2024,,140.78,PAYMENT SETTLEMENT TXN20240310011240,1871075.21
REF-20240322-787345,22/03/2024,,175.11,PAYMENT SETTLEMENT TXN20240321012756,1871250.32
REF-20240311-203374,11/03/2024,,118.43,PAYMENT SETTLEMENT TXN20240308044664,1871368.75
REF-20240307-578423,07/03/2024,,560.89,PAYMENT SETTLEMENT TXN20240306015726,1871929.64
REF-20240319-698195,19/03/2024,,64.12,PAYMENT SETTLEMENT TXN20240316042092,1871993.76
REF-20240326-685274,26/03/2024,,56.90,PAYMENT SETTLEMENT TXN20240325028167,1872050.66
REF-20240311-839447,11/03/2024,,140.94,PAYMENT SETTLEMENT TXN20240308033848,1872191.60
REF-20240312-525121,12/03/2024,,88.30,PAYMENT SETTLEMENT TXN20240309012642,1872279.90
REF-20240305-843784,05/03/2024,,47.95,PAYMENT SETTLEMENT TXN20240304035077,1872327.85
REF-20240404-726695,04/04/2024,,252.26,SETTLEMENT BATCH 0404,1872580.11
REF-20240311-571280,11/03/2024,,150.52,PAYMENT SETTLEMENT TXN20240308048434,1872730.63
REF-20240402-719077,02/04/2024,,229.19,PAYMENT SETTLEMENT TXN20240328024158,1872959.82
REF-20240307-986357,07/03/2024,,36.83,PAYMENT SETTLEMENT TXN20240306048506,1872996.65
REF-20240328-272454,28/03/2024,,41.17,PAYMENT SETTLEMENT TXN20240327026779,1873037.82
REF-20240307-145395,07/03/2024,,113.16,SETTLEMENT BATCH 0307,1873150.98
REF-20240320-719110,20/03/2024,,93.45,PAYMENT SETTLEMENT TXN20240319035564,1873244.43
REF-20240319-878212,19/03/2024,,34.11,PAYMENT SETTLEMENT TXN20240317013935,1873278.54
REF-20240308-650017,08/03/2024,,79.74,MERCHANT CREDIT CUST2705,1873358.28
REF-20240305-309208,05/03/2024,,158.64,PAYMENT SETTLEMENT TXN20240303008034,1873516.92
REF-20240312-592763,12/03/2024,,148.69,PAYMENT SETTLEMENT TXN20240310002673,1873665.61
REF-20240304-519866,04/03/2024,,79.53,CARD SETTLEMENT NET TXN20240301028484,1873745.14
REF-20240321-720621,21/03/2024,,72.67,PAYMENT SETTLEMENT TXN20240320029744,1873817.81
REF-20240315-219995,15/03/2024,,55.16,PAYMENT SETTLEMENT TXN20240314001430,1873872.97
REF-20240305-316705,05/03/2024,,118.45,PAYMENT SETTLEMENT TXN20240303035155,1873991.42
REF-20240328-505721,28/03/2024,,174.71,PAYMENT SETTLEMENT TXN20240327028361,1874166.13
REF-20240326-246061,26/03/2024,,16.12,PAYMENT SETTLEMENT TXN20240323017626,1874182.25
REF-20240307-942313,07/03/2024,,299.05,PAYMENT SETTLEMENT TXN20240306041783,1874481.30
REF-20240305-413923,05/03/2024,,150.42,PAYMENT SETTLEMENT TXN20240304033937,1874631.72
REF-20240403-277751,03/04/2024,,634.59,PAYMENT SETTLEMENT TXN20240331043698,1875266.31
REF-20240306-912672,06/03/2024,,410.17,PAYMENT SETTLEMENT TXN20240305011669,1875676.48
REF-20240326-924047,26/03/2024,,318.87,PAYMENT SETTLEMENT TXN20240323025963,1875995.35
REF-20240319-290827,19/03/2024,,396.15,PAYMENT SETTLEMENT TXN20240316002922,1876391.50
REF-20240321-948043,21/03/2024,,154.77,PAYMENT SETTLEMENT TXN20240320034906,1876546.27
REF-20240304-965225,04/03/2024,,299.96,CARD SETTLEMENT NET TXN20240301008962,1876846.23
REF-20240402-727667,02/04/2024,,102.25,PAYMENT SETTLEMENT TXN20240328022117,1876948.48
REF-20240402-624397,02/04/2024,,58.95,PAYMENT SETTLEMENT TXN20240328005725,1877007.43
REF-20240319-991934,19/03/2024,,116.51,PAYMENT SETTLEMENT TXN20240316020751,1877123.94
REF-20240318-866510,18/03/2024,57.18,,REVERSAL OF REF-20240314-900089,1877066.76
REF-20240326-469716,26/03/2024,,96.26,PAYMENT SETTLEMENT TXN20240323027309,1877163.02
REF-20240319-818265,19/03/2024,,22.68,CARD SETTLEMENT NET TXN20240317035339,1877185.70
REF-20240318-901257,18/03/2024,,27.87,PAYMENT SETTLEMENT TXN20240315000042,1877213.57
REF-20240326-406294,26/03/2024,,14.01,PAYMENT SETTLEMENT TXN20240323007900,1877227.58
REF-20240314-396483,14/03/2024,,103.73,PAYMENT SETTLEMENT TXN20240313000161,1877331.31
REF-20240321-914662,21/03/2024,,34.51,PAYMENT SETTLEMENT TXN20240320031656,1877365.82
REF-20240311-295571,11/03/2024,,50.06,PAYMENT SETTLEMENT TXN20240308049533,1877415.88
REF-20240312-571892,12/03/2024,,137.19,PAYMENT SETTLEMENT TXN20240309030146,1877553.07
REF-20240313-946960,13/03/2024,,54.61,PAYMENT SETTLEMENT TXN20240312025043,1877607.68
REF-20240403-553344,03/04/2024,,157.54,SETTLEMENT BATCH 0403,1877765.22
REF-20240305-650271,05/03/2024,,29.69,PAYMENT SETTLEMENT TXN20240302037361,1877794.91
REF-20240308-779474,08/03/2024,,149.51,MERCHANT CREDIT CUST1013,1877944.42
REF-20240314-338212,14/03/2024,,158.79,PAYMENT SETTLEMENT TXN20240313024296,1878103.21
REF-20240403-951526,03/04/2024,,176.10,PAYMENT SETTLEMENT TXN20240330004452,1878279.31
REF-20240328-271103,28/03/2024,,92.37,SETTLEMENT BATCH 0328,1878371.68
REF-20240307-943421,07/03/2024,,60.28,MERCHANT CREDIT CUST9770,1878431.96
REF-20240325-268798,25/03/2024,,9.92,PAYMENT SETTLEMENT TXN20240322000365,1878441.88
REF-20240325-107669,25/03/2024,,114.06,PAYMENT SETTLEMENT TXN20240322002868,1878555.94
REF-20240326-709036,26/03/2024,,43.64,CARD SETTLEMENT NET TXN20240325044564,1878599.58
REF-20240321-785260,21/03/2024,,88.08,PAYMENT SETTLEMENT TXN20240320037920,1878687.66
REF-20240325-999275,25/03/2024,,107.20,PAYMENT SETTLEMENT TXN20240322004230,1878794.86
REF-20240304-337840,04/03/2024,,93.99,PAYMENT SETTLEMENT TXN20240301031769,1878888.85
REF-20240327-249828,27/03/2024,,57.45,MERCHANT CREDIT CUST8151,1878946.30
REF-20240319-224428,19/03/2024,20.28,,RETURNED PAYMENT ORIG REF-20240318-201868 RSN AC01 INCORRECT ACCOUNT NUMBER,1878926.02
REF-20240322-216548,22/03/2024,,109.39,MERCHANT CREDIT CUST6195,1879035.41
REF-20240305-305689,05/03/2024,,66.31,PAYMENT SETTLEMENT TXN20240303044399,1879101.72
REF-20240312-368819,12/03/2024,,55.01,PAYMENT SETTLEMENT TXN20240310001459,1879156.73
REF-20240312-662186,12/03/2024,,37.06,PAYMENT SETTLEMENT TXN20240309011820,1879193.79
REF-20240403-815341,03/04/2024,,394.41,PAYMENT SETTLEMENT TXN20240330011212,1879588.20
REF-20240321-655829,21/03/2024,,63.90,PAYMENT SETTLEMENT TXN20240320011077,1879652.10
REF-20240322-629005,22/03/2024,,32.42,MERCHANT CREDIT CUST6344,1879684.52
REF-20240305-648506,05/03/2024,,44.85,PAYMENT SETTLEMENT TXN20240304013356,1879729.37
REF-20240312-686266,12/03/2024,,34.94,CARD SETTLEMENT NET TXN20240309025573,1879764.31
REF-20240402-619583,02/04/2024,,67.51,MERCHANT CREDIT CUST4400,1879831.82
REF-20240312-998665,12/03/2024,,132.73,PAYMENT SETTLEMENT TXN20240311030085,1879964.55
REF-20240321-201218,21/03/2024,,20.31,PAYMENT SETTLEMENT TXN20240320041190,1879984.86
REF-20240319-298838,19/03/2024,,29.46,MERCHANT CREDIT CUST1942,1880014.32
REF-20240308-874813,08/03/2024,,126.19,PAYMENT SETTLEMENT TXN20240307027980,1880140.51
REF-20240318-104608,18/03/2024,,371.85,PAYMENT SETTLEMENT TXN20240315017227,1880512.36
REF-20240313-718499,13/03/2024,,280.39,PAYMENT SETTLEMENT TXN20240312045076,1880792.75
REF-20240319-970850,19/03/2024,,30.95,PAYMENT SETTLEMENT TXN20240317021623,1880823.70
REF-20240319-850165,19/03/2024,,295.16,PAYMENT SETTLEMENT TXN20240316022336,1881118.86
REF-20240313-438821,13/03/2024,,93.78,PAYMENT SETTLEMENT TXN20240312013200,1881212.64
REF-20240313-327776,13/03/2024,,12.86,PAYMENT SETTLEMENT TXN20240312007834,1881225.50
REF-20240313-546232,13/03/2024,,283.72,SETTLEMENT BATCH 0313,1881509.22
REF-20240327-369271,27/03/2024,,114.61,PAYMENT SETTLEMENT TXN20240326036515,1881623.83
REF-20240312-627771,12/03/2024,,249.79,CARD SETTLEMENT NET TXN20240309035371,1881873.62
REF-20240403-243776,03/04/2024,,44.70,PAYMENT SETTLEMENT TXN20240330026241,1881918.32
REF-20240326-741368,26/03/2024,,432.03,MERCHANT CREDIT CUST7240,1882350.35
REF-20240312-615261,12/03/2024,,75.03,MERCHANT CREDIT CUST3137,1882425.38
REF-20240312-185011,12/03/2024,,38.12,PAYMENT SETTLEMENT TXN20240311018707,1882463.50
REF-20240321-846681,21/03/2024,,113.31,CARD SETTLEMENT NET TXN20240320021214,1882576.81
REF-20240312-979896,12/03/2024,,41.23,PAYMENT SETTLEMENT TXN20240311009762,1882618.04
REF-20240319-448065,19/03/2024,,77.56,CARD SETTLEMENT NET TXN20240316026976,1882695.60
REF-20240304-290278,04/03/2024,,143.27,PAYMENT SETTLEMENT TXN20240301034606,1882838.87
REF-20240312-430774,12/03/2024,,546.47,PAYMENT SETTLEMENT TXN20240309039284,1883385.34
REF-20240312-483581,12/03/2024,,19.21,PAYMENT SETTLEMENT TXN20240309049641,1883404.55
REF-20240404-221725,04/04/2024,125.34,,REVERSAL OF REF-20240403-228815,1883279.21
REF-20240312-861480,12/03/2024,,118.28,PAYMENT SETTLEMENT TXN20240311001189,1883397.49
REF-20240305-970103,05/03/2024,,135.52,PAYMENT SETTLEMENT TXN20240303007716,1883533.01
REF-20240311-423609,11/03/2024,,18.30,PAYMENT SETTLEMENT TXN20240308043766,1883551.31
REF-20240321-985068,21/03/2024,,104.09,PAYMENT SETTLEMENT TXN20240320009965,1883655.40
REF-20240302-224326,02/03/2024,74.46,,REFUND PROCESSED 44PG,1883580.94
REF-20240404-433319,04/04/2024,12.62,,REVERSAL OF REF-20240403-808538,1883568.32
REF-20240327-584764,27/03/2024,,21.84,PAYMENT SETTLEMENT TXN20240326049797,1883590.16
REF-20240304-734873,04/03/2024,,146.67,PAYMENT SETTLEMENT TXN20240301010302,1883736.83
REF-20240307-682162,07/03/2024,,176.80,PAYMENT SETTLEMENT TXN20240306018545,1883913.63
REF-20240318-959711,18/03/2024,,94.06,PAYMENT SETTLEMENT TXN20240315013575,1884007.69
REF-20240326-722349,26/03/2024,,123.53,PAYMENT SETTLEMENT TXN20240324040411,1884131.22
REF-20240320-305932,20/03/2024,,12.51,PAYMENT SETTLEMENT TXN20240319001436,1884143.73
REF-20240328-618201,28/03/2024,,199.11,SETTLEMENT BATCH 0328,1884342.84
REF-20240322-120210,22/03/2024,,129.46,MERCHANT CREDIT CUST6910,1884472.30
REF-20240326-440941,26/03/2024,,61.59,PAYMENT SETTLEMENT TXN20240325000502,1884533.89
REF-20240325-468174,25/03/2024,,38.32,PAYMENT SETTLEMENT TXN20240322012546,1884572.21
REF-20240308-176570,08/03/2024,,104.43,PAYMENT SETTLEMENT TXN20240307042770,1884676.64
REF-20240305-670843,05/03/2024,,14.01,MERCHANT CREDIT CUST5761,1884690.65
REF-20240403-846110,03/04/2024,,17.74,MERCHANT CREDIT CUST8117,1884708.39
REF-20240326-387046,26/03/2024,,42.14,PAYMENT SETTLEMENT TXN20240323013607,1884750.53
REF-20240319-493534,19/03/2024,,118.07,PAYMENT SETTLEMENT TXN20240316041482,1884868.60
REF-20240326-174423,26/03/2024,,49.20,PAYMENT SETTLEMENT TXN20240324027430,1884917.80
REF-20240304-326405,04/03/2024,,58.30,PAYMENT SETTLEMENT TXN20240301030615,1884976.10
REF-20240403-352915,03/04/2024,,103.42,PAYMENT SETTLEMENT TXN20240331019342,1885079.52
REF-20240322-654017,22/03/2024,,121.60,PAYMENT SETTLEMENT TXN20240321013522,1885201.12
REF-20240305-176808,05/03/2024,,74.18,MERCHANT CREDIT CUST4075,1885275.30
REF-20240319-316953,19/03/2024,,73.69,PAYMENT SETTLEMENT TXN20240317025164,1885348.99
REF-20240305-465805,05/03/2024,,117.40,CARD SETTLEMENT NET TXN20240302027416,1885466.39
REF-20240319-519719,19/03/2024,,45.26,PAYMENT SETTLEMENT TXN20240317027775,1885511.65
REF-20240312-657588,12/03/2024,,234.68,CARD SETTLEMENT NET TXN20240310037556,1885746.33
REF-20240313-165638,13/03/2024,,120.40,PAYMENT SETTLEMENT TXN20240312017467,1885866.73
REF-20240312-799276,12/03/2024,,68.24,PAYMENT SETTLEMENT TXN20240311007362,1885934.97
REF-20240307-412053,07/03/2024,,79.92,PAYMENT SETTLEMENT TXN20240306007612,1886014.89
REF-20240322-924830,22/03/2024,,190.76,PAYMENT SETTLEMENT TXN20240321015942,1886205.65
REF-20240305-417138,05/03/2024,,147.39,CARD SETTLEMENT NET TXN20240303009231,1886353.04
REF-20240319-160586,19/03/2024,,1047.27,CARD SETTLEMENT NET TXN20240318029545,1887400.31
REF-20240305-787118,05/03/2024,,75.20,MERCHANT CREDIT CUST2235,1887475.51
REF-20240326-543562,26/03/2024,,143.94,PAYMENT SETTLEMENT TXN20240324042528,1887619.45
REF-20240312-399914,12/03/2024,,25.39,MERCHANT CREDIT CUST8548,1887644.84
REF-20240312-355829,12/03/2024,,140.54,PAYMENT SETTLEMENT TXN20240309043606,1887785.38
REF-20240320-719194,20/03/2024,,23.18,PAYMENT SETTLEMENT TXN20240319022519,1887808.56
REF-20240327-797145,27/03/2024,,218.84,PAYMENT SETTLEMENT TXN20240326016263,1888027.40
REF-20240308-443403,08/03/2024,,350.16,PAYMENT SETTLEMENT TXN20240307043668,1888377.56
REF-20240313-244949,13/03/2024,,86.63,MERCHANT CREDIT CUST9676,1888464.19
REF-20240403-420640,03/04/2024,,232.30,MERCHANT CREDIT CUST6873,1888696.49
REF-20240319-288673,19/03/2024,,119.84,PAYMENT SETTLEMENT TXN20240317022443,1888816.33
REF-20240307-180878,07/03/2024,,133.39,PAYMENT SETTLEMENT TXN20240306026689,1888949.72
REF-20240305-252905,05/03/2024,,67.97,PAYMENT SETTLEMENT TXN20240302049035,1889017.69
REF-20240315-949818,15/03/2024,,218.45,PAYMENT SETTLEMENT TXN20240314031249,1889236.14
REF-20240326-621109,26/03/2024,,296.20,MERCHANT CREDIT CUST1142,1889532.34
